"SiteID","Year","TOO","AB"
2021,2012,15840,5
2021,2012,23940,10
2021,2012,24070,2
2021,2012,24740,3
2021,2012,34040,1
2021,2012,35070,3
2021,2012,35490,1
2021,2012,37200,14
2021,2012,37400,1
2021,2012,37570,9
2021,2012,37940,15
2021,2012,38440,11
2021,2012,38540,2
2021,2012,38760,5
2021,2012,39210,7
2021,2012,39330,8
2021,2012,39480,18
2021,2012,40130,10
2021,2012,41520,4
2021,2012,41910,9
2021,2012,42580,1
2021,2012,42600,16
2021,2012,42750,2
2021,2012,43630,2
2021,2012,44040,3
2021,2012,44200,1
2021,2012,44300,4
2021,2012,44450,6
2021,2012,44940,15
2021,2012,46110,3
2021,2012,49770,10
2021,2012,51220,24
2021,2012,51400,1
2021,2012,51430,15
2021,2012,52120,3
2021,2012,52240,1
2022,2012,3490,2
2022,2012,13040,6
2022,2012,13210,21
2022,2012,15840,9
2022,2012,17790,2
2022,2012,23760,1
2022,2012,23940,9
2022,2012,24740,1
2022,2012,33820,1
2022,2012,35070,6
2022,2012,35490,1
2022,2012,37200,11
2022,2012,37570,2
2022,2012,37940,10
2022,2012,38440,24
2022,2012,38540,2
2022,2012,38760,9
2022,2012,39210,7
2022,2012,39330,1
2022,2012,39480,12
2022,2012,39630,2
2022,2012,40130,10
2022,2012,41120,2
2022,2012,41520,7
2022,2012,42600,37
2022,2012,42750,1
2022,2012,43630,2
2022,2012,44040,2
2022,2012,44060,2
2022,2012,44200,1
2022,2012,44450,1
2022,2012,44940,6
2022,2012,46110,5
2022,2012,49770,4
2022,2012,50070,1
2022,2012,51220,33
2022,2012,51430,7
2022,2012,51650,12
2022,2012,51780,6
2022,2012,52120,4
2022,2012,52240,4
2023,2012,3360,2
2023,2012,3490,5
2023,2012,13210,20
2023,2012,15840,1
2023,2012,17790,5
2023,2012,21480,2
2023,2012,23760,4
2023,2012,23940,10
2023,2012,24070,7
2023,2012,24500,1
2023,2012,24740,5
2023,2012,33680,4
2023,2012,33820,5
2023,2012,34040,1
2023,2012,35070,6
2023,2012,35490,3
2023,2012,37200,49
2023,2012,37400,1
2023,2012,37570,11
2023,2012,37940,13
2023,2012,38440,30
2023,2012,38760,1
2023,2012,39130,13
2023,2012,39210,10
2023,2012,39330,32
2023,2012,39480,19
2023,2012,40130,19
2023,2012,41120,10
2023,2012,41520,3
2023,2012,41910,8
2023,2012,42380,2
2023,2012,42580,1
2023,2012,42600,6
2023,2012,42750,1
2023,2012,43630,2
2023,2012,43950,1
2023,2012,44040,3
2023,2012,44060,5
2023,2012,44190,3
2023,2012,44200,1
2023,2012,44220,1
2023,2012,44250,3
2023,2012,44260,1
2023,2012,44300,14
2023,2012,44450,15
2023,2012,44940,17
2023,2012,46110,10
2023,2012,49770,33
2023,2012,50020,1
2023,2012,50070,1
2023,2012,51220,41
2023,2012,51400,3
2023,2012,51430,33
2023,2012,51520,11
2023,2012,51780,4
2023,2012,52120,12
2023,2012,52240,1
2024,2012,3360,1
2024,2012,3490,1
2024,2012,13040,1
2024,2012,13210,44
2024,2012,15840,12
2024,2012,17790,3
2024,2012,23940,12
2024,2012,24070,4
2024,2012,24740,3
2024,2012,33680,5
2024,2012,33820,7
2024,2012,34040,3
2024,2012,35070,19
2024,2012,35490,4
2024,2012,37200,14
2024,2012,37400,1
2024,2012,37570,17
2024,2012,37940,24
2024,2012,38440,69
2024,2012,38540,3
2024,2012,38760,43
2024,2012,39210,4
2024,2012,39330,10
2024,2012,39480,26
2024,2012,39630,2
2024,2012,40130,18
2024,2012,41120,6
2024,2012,41520,12
2024,2012,41910,2
2024,2012,42580,1
2024,2012,42600,41
2024,2012,42750,3
2024,2012,43010,1
2024,2012,43630,15
2024,2012,44040,11
2024,2012,44060,5
2024,2012,44300,3
2024,2012,44450,1
2024,2012,44940,12
2024,2012,46110,10
2024,2012,49770,12
2024,2012,50020,3
2024,2012,51220,68
2024,2012,51400,19
2024,2012,51430,27
2024,2012,51520,3
2024,2012,51780,5
2024,2012,52120,8
2024,2012,52240,10
2024,2012,53270,4
2024,2012,54150,3
2025,2012,3360,2
2025,2012,3490,7
2025,2012,13040,6
2025,2012,13210,21
2025,2012,15840,2
2025,2012,17790,10
2025,2012,23940,12
2025,2012,24070,8
2025,2012,24080,1
2025,2012,33820,2
2025,2012,34040,5
2025,2012,35070,12
2025,2012,35490,10
2025,2012,37160,2
2025,2012,37200,8
2025,2012,37570,8
2025,2012,37940,30
2025,2012,38440,32
2025,2012,38540,1
2025,2012,38760,10
2025,2012,39080,3
2025,2012,39130,32
2025,2012,39210,4
2025,2012,39330,8
2025,2012,39480,19
2025,2012,39580,2
2025,2012,39630,6
2025,2012,40130,7
2025,2012,41120,8
2025,2012,41520,10
2025,2012,41910,10
2025,2012,42380,4
2025,2012,42580,2
2025,2012,42600,28
2025,2012,42750,6
2025,2012,43010,7
2025,2012,43630,1
2025,2012,43950,1
2025,2012,44040,12
2025,2012,44060,4
2025,2012,44220,2
2025,2012,44250,2
2025,2012,44260,2
2025,2012,44300,2
2025,2012,44450,6
2025,2012,44940,9
2025,2012,46110,6
2025,2012,46140,1
2025,2012,49770,20
2025,2012,50020,9
2025,2012,50070,6
2025,2012,51220,29
2025,2012,51400,14
2025,2012,51430,28
2025,2012,51520,1
2025,2012,51650,8
2025,2012,51780,5
2025,2012,52120,8
2025,2012,52240,14
2025,2012,53710,1
2025,2012,54150,2
2026,2012,13040,1
2026,2012,13210,29
2026,2012,15840,7
2026,2012,17790,2
2026,2012,23940,2
2026,2012,24070,1
2026,2012,24080,1
2026,2012,33680,3
2026,2012,34040,12
2026,2012,35070,1
2026,2012,35490,4
2026,2012,37200,8
2026,2012,37570,6
2026,2012,37940,19
2026,2012,38440,50
2026,2012,38540,5
2026,2012,38760,17
2026,2012,39080,16
2026,2012,39210,6
2026,2012,39330,18
2026,2012,39480,12
2026,2012,39630,8
2026,2012,40130,3
2026,2012,41120,9
2026,2012,41520,11
2026,2012,41910,3
2026,2012,42380,3
2026,2012,42600,45
2026,2012,43010,3
2026,2012,43630,4
2026,2012,44040,4
2026,2012,46110,2
2026,2012,49770,7
2026,2012,50020,19
2026,2012,51220,77
2026,2012,51400,1
2026,2012,51430,16
2026,2012,51520,2
2026,2012,51650,2
2026,2012,51780,3
2026,2012,53270,25
2026,2012,54150,1
2029,2012,3490,8
2029,2012,13040,1
2029,2012,13210,48
2029,2012,15840,6
2029,2012,17790,7
2029,2012,23760,3
2029,2012,23940,19
2029,2012,24070,5
2029,2012,24500,1
2029,2012,24740,2
2029,2012,33680,7
2029,2012,33820,4
2029,2012,34040,5
2029,2012,35070,13
2029,2012,35490,3
2029,2012,37200,15
2029,2012,37570,10
2029,2012,37940,24
2029,2012,38440,84
2029,2012,38540,2
2029,2012,38760,8
2029,2012,39080,1
2029,2012,39210,21
2029,2012,39330,15
2029,2012,39480,20
2029,2012,39630,5
2029,2012,40130,16
2029,2012,41120,6
2029,2012,41520,11
2029,2012,41910,2
2029,2012,42580,2
2029,2012,42600,30
2029,2012,42750,7
2029,2012,43010,7
2029,2012,43630,3
2029,2012,44040,27
2029,2012,44060,2
2029,2012,44250,1
2029,2012,44260,1
2029,2012,44300,9
2029,2012,44450,4
2029,2012,44940,29
2029,2012,46110,6
2029,2012,49770,21
2029,2012,49930,1
2029,2012,50020,2
2029,2012,50070,9
2029,2012,51220,56
2029,2012,51400,14
2029,2012,51430,30
2029,2012,51520,1
2029,2012,51650,4
2029,2012,51780,9
2029,2012,52120,4
2029,2012,52240,7
2029,2012,53270,2
2029,2012,53710,1
2033,2012,13040,5
2033,2012,13210,9
2033,2012,15840,3
2033,2012,17790,3
2033,2012,23760,2
2033,2012,23940,7
2033,2012,24070,1
2033,2012,24740,1
2033,2012,35070,17
2033,2012,35490,3
2033,2012,37160,1
2033,2012,37200,7
2033,2012,37400,1
2033,2012,37570,3
2033,2012,37940,15
2033,2012,38440,29
2033,2012,38540,2
2033,2012,38760,14
2033,2012,39210,13
2033,2012,39330,4
2033,2012,39480,12
2033,2012,39630,1
2033,2012,40130,4
2033,2012,41120,1
2033,2012,41520,20
2033,2012,41910,2
2033,2012,42600,50
2033,2012,42750,3
2033,2012,43010,5
2033,2012,43630,2
2033,2012,44040,3
2033,2012,44300,2
2033,2012,44450,6
2033,2012,44940,4
2033,2012,46110,2
2033,2012,49770,4
2033,2012,50070,1
2033,2012,51220,31
2033,2012,51400,1
2033,2012,51430,5
2033,2012,51520,3
2033,2012,51650,1
2033,2012,51780,29
2033,2012,52120,4
2033,2012,52240,13
2033,2012,53270,2
2036,2012,3490,1
2036,2012,13210,10
2036,2012,15840,3
2036,2012,17790,3
2036,2012,23760,4
2036,2012,23940,11
2036,2012,24740,2
2036,2012,35070,5
2036,2012,35490,1
2036,2012,37200,17
2036,2012,37400,1
2036,2012,37570,5
2036,2012,37940,12
2036,2012,38440,11
2036,2012,38540,1
2036,2012,39210,12
2036,2012,39330,7
2036,2012,39480,12
2036,2012,39630,3
2036,2012,40130,7
2036,2012,41120,17
2036,2012,41520,1
2036,2012,41910,7
2036,2012,42580,1
2036,2012,42600,22
2036,2012,43630,2
2036,2012,44040,3
2036,2012,44060,1
2036,2012,44300,1
2036,2012,44450,6
2036,2012,44940,9
2036,2012,46110,3
2036,2012,49770,10
2036,2012,51220,30
2036,2012,51400,1
2036,2012,51430,11
2036,2012,51520,1
2036,2012,52120,1
2036,2012,52240,1
2036,2012,54150,4
2043,2012,13210,4
2043,2012,15840,4
2043,2012,17790,2
2043,2012,23940,8
2043,2012,24070,2
2043,2012,33680,1
2043,2012,34040,1
2043,2012,35070,3
2043,2012,37200,6
2043,2012,37400,1
2043,2012,37570,3
2043,2012,37940,14
2043,2012,38440,36
2043,2012,38760,7
2043,2012,39210,17
2043,2012,39330,2
2043,2012,39480,9
2043,2012,40130,3
2043,2012,41520,7
2043,2012,41910,4
2043,2012,42380,9
2043,2012,42600,16
2043,2012,42750,5
2043,2012,43950,1
2043,2012,44040,3
2043,2012,44450,1
2043,2012,44940,7
2043,2012,46140,2
2043,2012,49770,8
2043,2012,50020,4
2043,2012,51220,17
2043,2012,51400,4
2043,2012,51430,9
2043,2012,51780,10
2043,2012,53270,6
2045,2012,3490,3
2045,2012,13040,1
2045,2012,13210,20
2045,2012,15840,4
2045,2012,21480,1
2045,2012,23940,12
2045,2012,24740,3
2045,2012,33680,3
2045,2012,33820,5
2045,2012,34040,2
2045,2012,35070,4
2045,2012,35490,4
2045,2012,37200,22
2045,2012,37400,1
2045,2012,37570,19
2045,2012,37940,16
