"Longitude","Latitude","SiteID","year","S","N","logS","logN","p1","p2","p3","p4","predS","predN","predlogS","predlogN"
-95.2833,32.2667,"L12418",109,73,30754,1.86332286012046,4.48790161002852,0.999708535261,0.00472503557941,0.999708494976,0.00472503593278,61.8610991221624,59998.6279148455,1.77873450273302,4.11546056549407
-91.3667,32.2833,"L12419",109,52,9509,1.7160033436348,3.97813484739829,0.999239677079,0.00063212756199,0.999239049393,0.000632128903451,63.7103218889374,57827.227022348,1.80593623748847,4.17199651484307
-104.1,32.2833,"L12421",109,55,6457,1.74036268949424,3.81003078640584,0.9987237354,0.85396126471,0.9987233437,0.853961305959,68.7938066646968,1483.72169644083,1.82975921368575,3.773188293778
-100.1833,46.6833,"L12425",109,18,6087,1.25527250510331,3.78440330175301,0.999685173221,0.830949614955,0.999625320138,0.834892092028,25.9002714889971,37171.6698572246,1.37184547851713,3.31715232264392
-111.9833,46.6833,"L12426",109,35,9594,1.54406804435028,3.98199971412988,0.999529081844,0.638919737022,0.99952325856,0.638988761467,31.9418939186947,18295.6214551077,1.48383204605362,3.50871468451813
-53.15,46.7333,"L12430",109,21,695,1.32221929473392,2.84198480459011,0.994287733175,0.842111709352,0.994159016588,0.84222011507,22.2337681542229,-43700.3532879043,1.34068502327257,2.8835064279248
-117.0333,46.7333,"L12431",109,47,9479,1.67209785793572,3.97676252326746,0.999321968369,0.926090399754,0.999320725015,0.926091038505,43.3473057485606,5307.05805958703,1.64264430752338,3.88380623037311
-84.95,46.7667,"L12432",109,17,202,1.23044892137827,2.30535136944662,0.978931609355,0.781455960378,0.978569933778,0.781538730995,32.1870928590095,-12794.3407724319,1.48039099667866,3.54196047763794
-71.25,46.8,"L12436",109,37,22837,1.56820172406699,4.35863905189346,0.999814068787,0.752033058571,0.999811075209,0.752123211601,30.0865131773697,-10488.3552321066,1.48014309418503,3.72133702616861
-100.7833,46.8167,"L12440",109,32,5365,1.50514997831991,3.72956972630197,0.999169291444,0.213278116746,0.99915825798,0.213334590048,26.5713929033732,41268.8654951761,1.38119365059433,3.32729634009095
-92.0333,46.85,"L12443",109,37,6217,1.56820172406699,3.79358086736816,0.999165742211,0.98039493563,0.999160418337,0.98039667788,29.2753749618782,9365.87652860087,1.45348094586436,3.23779331784863
-54.0833,46.8667,"L12444",109,23,911,1.36172783601759,2.959518376973,0.995397085659,0.796270913263,0.995314721992,0.79635981848,21.766231845778,-49836.420383077,1.34326210747895,2.91799675363831
-114.0333,46.8667,"L12447",109,48,5213,1.68124123737559,3.71708772492702,0.998601983227,0.652676072817,0.998600884684,0.652676506448,33.8219602119825,3440.2739402423,1.48556059436396,3.56851140833219
-98.75,46.9,"L12450",109,32,5345,1.50514997831991,3.7279477095448,0.999165637381,0.934234905091,0.999154592605,0.9342554522,30.7897206106706,41960.9576608957,1.4416508000383,3.62109640632855
-72.0833,42.1333,"L12452",109,42,10530,1.6232492903979,4.02242837118549,0.999474031292,0.968753751468,0.999471695995,0.968755184189,45.5380631908751,11402.0803599358,1.650846386345,3.9356359416587
-76.8333,42.1333,"L12455",109,37,5461,1.56820172406699,3.73727217653554,0.999029014371,0.665907990828,0.999023490728,0.665924324777,39.3951449274123,27281.7488076069,1.58659034809212,3.72198089194285
-87.7833,42.1333,"L12457",109,31,4800,1.49136169383427,3.68124123737559,0.999089800604,0.879585594264,0.999076573275,0.879627315369,42.105486250083,33610.4305540717,1.60809182918638,3.79009786929198
-73.3333,42.15,"L12461",109,39,4204,1.5910646070265,3.6236627073562,0.998592863046,0.950411982898,0.998588506113,0.950413117862,37.1420837789081,9493.93177881965,1.57381570082615,3.52856748935949
-111.3,42.15,"L12462",109,28,4386,1.44715803134222,3.6420686273415,0.999109643362,0.704702372392,0.999088958116,0.704889079989,27.7201529875058,-43972.584531152,1.40911816386009,3.41136552604163
-78.0667,42.1667,"L12464",109,34,3467,1.53147891704226,3.5399538416564,0.998502589725,0.560689067418,0.998492993535,0.560711304436,39.3954703525415,18844.1320210051,1.56707311785509,3.70503769373439
-89.0833,42.1667,"L12469",109,37,5423,1.56820172406699,3.73423960443546,0.999021032341,0.523704107987,0.999015498238,0.523722211397,39.0364442002836,33093.5030363521,1.57155084704338,3.746078623427
-121.75,42.1667,"L12471",109,58,14260,1.76342799356294,4.15411952551585,0.999459939189,0.845081606684,0.999459663518,0.845081720687,45.418651299196,-3419.28455924126,1.63234089638247,3.76286044012368
-71.35,42.1833,"L12472",109,39,4196,1.5910646070265,3.62283547952152,0.99858970318,0.932794849476,0.998585335902,0.932796359963,48.4668288620979,21944.7862881013,1.67642786563816,3.94443472923274
-75.9667,42.1833,"L12473",109,43,13249,1.63346845557959,4.12218310009387,0.999585075863,0.926643888505,0.999583161566,0.926647351597,37.5310715912501,11914.0462285168,1.57599604299494,3.72336476910861
-122.7167,38.9333,"L12483",109,76,6839,1.88081359228079,3.83499260373303,0.998252990283,0.72238251525,0.998252976738,0.722382515311,65.0981762547328,52621.0512028553,1.79242241418547,4.19173396102117
-85.8,38.95,"L12486",109,50,2345,1.69897000433602,3.3701428470511,0.996186542921,0.21667270157,0.996185960602,0.21667271621,44.4286233349499,21309.9346616298,1.63358325947975,3.82435907796282
-90.35,38.95,"L12487",109,38,3860,1.57978359661681,3.58658730467176,0.998491268121,0.823385046769,0.998486135794,0.823389200568,49.897186604427,45691.4735575252,1.69688971330652,3.95791017807363
-94.4,38.95,"L12489",109,41,5654,1.61278385671974,3.7523558041535,0.998945959322,0.0106868553242,0.998942840314,0.0106870912063,47.5519495360828,107427.983732672,1.66571355474385,3.91363977471283
-120,38.95,"L12491",109,35,1050,1.54406804435028,3.02118929906994,0.99341343876,0.531400868989,0.993405720087,0.531401829773,39.318283381759,12214.0552067723,1.57033694258549,3.0319528285736
-84.0333,38.9833,"L12500",109,45,5062,1.65321251377534,3.70432214082224,0.99865931008,0.82769237809,0.998657574312,0.827693068296,43.0592270414018,19542.8711301081,1.63370674400151,3.77027053503451
-121.15,38.9833,"L12503",109,73,14026,1.86332286012046,4.14693383456276,0.999281519093,0.967646118577,0.999281479227,0.967646118996,67.5531310426155,84155.7903788066,1.83431621759044,4.08667436015819
-76.5167,39,"L12506",109,55,19271,1.74036268949424,4.28490425140759,0.999640620612,0.305604137431,0.999640228548,0.305604902006,50.6230998006284,28436.8688565457,1.69368916625212,4.0965185618207
-76.7833,39,"L12507",109,58,25464,1.76342799356294,4.40592662561295,0.999722148143,0.0326457440921,0.999721880536,0.0326458350881,50.7040633257295,31274.133542991,1.69570058747093,4.07866766679886
-90.6,39,"L12510",109,50,9610,1.69897000433602,3.98272338766855,0.999282582365,0.457449221922,0.999281752324,0.457450210077,50.3159416961594,48081.3217198529,1.70297117766645,3.97362262581985
-93.4833,32.3,"L12516",109,75,1732817,1.8750612633917,6.23875269999799,0.999996562265,3.57914412334e-11,0.999996559426,3.57915081063e-11,60.9108122751619,97805.1437720454,1.75841246248237,3.99206151388281
-106.7167,32.3,"L12517",109,86,40898,1.93449845124357,4.6117020705941,0.999746064283,0.405641611016,0.999746054747,0.405641612569,65.5383294531453,-5875.72869034484,1.7941329349992,3.60398605401054
-110.978583,32.297222,"L12518",109,90,15807,1.95424250943932,4.19884945329245,0.999202537425,0.956176522003,0.999202540491,0.956176522007,76.0838325754083,74095.4849532344,1.87294892880409,3.84876523527336
-90.9,32.3167,"L12519",109,59,8515,1.77085201164214,3.93018465229862,0.998997820057,0.0752830127905,0.998997587768,0.0752830264659,63.4390006775099,62261.5784786097,1.81157655220092,4.1267311794377
-110.7333,32.3333,"L12522",109,94,7432,1.9731278535997,3.87110570098559,0.997962911613,0.962672117971,0.997962917817,0.962672117973,108.298845114535,77191.4458309636,2.06518847415698,4.07383791717646
-86.3833,32.35,"L12523",109,63,47370,1.79934054945358,4.67550338472796,0.999848977067,0.00509990492298,0.999848843313,0.00509991754051,63.3331958768387,75124.1756624365,1.80595929141609,3.99712732987938
-99.75,32.35,"L12525",109,65,7787,1.81291335664286,3.89137017469615,0.998753417172,0.564285459949,0.998753328476,0.564285465101,63.3182297801465,75686.4001089798,1.80810755061605,4.4324154107995
-94.7,32.4333,"L12530",109,66,12392,1.81954393554187,4.09314140475115,0.999262095653,0.0151546265516,0.999262008053,0.0151546273813,58.7094163279506,57027.7312227075,1.76159309652175,4.03438551440634
-90,32.45,"L12532",109,56,134061,1.7481880270062,5.12730245459868,0.999958793633,2.93199248158e-07,0.999958612682,2.93213296846e-07,60.2790189944227,64876.4975174968,1.78691713626478,3.99320205670637
-93.8833,32.5333,"L12535",109,70,19805,1.84509804001426,4.29677484674031,0.999540343545,0.0184773924643,0.999540289397,0.0184773934617,59.8594248691377,84502.7881130567,1.76475991263505,4.05465176800733
-104.2833,32.5333,"L12536",109,54,2591,1.73239375982297,3.41346741298582,0.996290249415,0.864384769064,0.996289954811,0.864384772006,66.6744242247648,-4339.50080018258,1.81550013876014,3.71363511723213
-101.75,32.55,"L12538",109,76,42582,1.88081359228079,4.62922605561253,0.999789224155,0.0241234509314,0.999789189603,0.0241234534359,55.6221720519501,38397.6807086237,1.71775704248255,3.89262177055164
-103.5167,46.9167,"L12541",109,16,303,1.20411998265592,2.4814426285023,0.988710914589,0.687831369545,0.988258873239,0.688292753641,26.9961515520936,48074.4204199266,1.38998013627056,3.32344217260032
-96.8333,46.9333,"L12543",109,32,6686,1.50514997831991,3.82516637225655,0.999357969873,0.756743012046,0.999347956488,0.756825646492,32.0947216845931,25879.5872074402,1.47511512088813,3.60033752168192
-98,46.9333,"L12544",109,24,2308,1.38021124171161,3.36323580448369,0.998434465416,0.887781691683,0.998385014537,0.887932004438,29.607837019505,29818.8136764431,1.42966347230584,3.59572179327254
-70.5,47,"L12548",109,31,1808,1.49136169383427,3.25719842613934,0.997086325921,0.926038659411,0.997068801161,0.926044089236,29.0567094997847,-7602.5404173882,1.46943616930503,3.63700009175214
-94.5333,47.05,"L12552",109,23,715,1.36172783601759,2.85430604180108,0.993776239268,0.190306187073,0.993689806369,0.190359734618,23.328396638856,25075.9738178022,1.38714401619386,3.06799997175594
-88.5,47.0667,"L12554",109,27,1901,1.43136376415899,3.27898211686544,0.997694577612,0.280346697102,0.997660981521,0.280425063834,30.7024573531322,6511.93463804876,1.47715385617189,3.54797466784798
-109.4167,47.0667,"L12555",109,30,1564,1.47712125471966,3.19423674872383,0.996665614508,0.0342358869052,0.996644410951,0.0342387758044,27.0176908878425,30972.049016065,1.41160359814126,3.36720876290002
-122.85,47.0667,"L12557",109,52,16809,1.7160033436348,4.22554187718723,0.999606041797,0.412298474402,0.999605454358,0.412300031108,46.8039260222891,-6816.13281023072,1.68219412797264,4.01723674236834
-101.3667,47.1833,"L12562",109,23,814,1.36172783601759,2.9106244048892,0.994706213214,0.326530231186,0.994621727158,0.326628405148,26.6972230332071,45118.0292262529,1.3770648758421,3.34857882724927
-95.2,47.2167,"L12564",109,27,654,1.43136376415899,2.81557774832427,0.991430151276,0.45737953054,0.991392673576,0.457390223982,23.3614274676051,24528.9892626488,1.37665588213213,3.06834657570882
-122.5167,47.2333,"L12566",109,53,16228,1.72427586960079,4.21026499903229,0.999580673017,0.32159114058,0.999580150336,0.321592146016,47.4303808091358,-4631.91470741504,1.68600862056373,4.06595243311317
-98.8167,47.25,"L12567",109,27,1664,1.43136376415899,3.22115332195471,0.997291672267,0.90816439657,0.997256733216,0.908190397892,30.4272630552752,34558.0508385945,1.43260497139175,3.60545634210996
-93.65,47.2667,"L12569",109,31,1867,1.49136169383427,3.27114431794908,0.997197220735,0.721919180752,0.997179778587,0.721936122573,22.8198170457918,8420.11688140698,1.38026155638701,3.01269037640226
-91.5833,42.2,"L12572",109,47,3928,1.67209785793572,3.59417147911491,0.998094143383,0.587753865609,0.998092905628,0.587754188326,37.5352886958508,28458.9254132789,1.56611279018445,3.645440113636
